SMILES,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT,logS
[Cl-].C[N+](C)(C)c1ccccc1,171.671,-1.1127,46.008,11,0,0,2,1,62,1,0,0,1,0,74.6491278720349,9.99999827000031e-07,200.552759833386,0.2877472965
CC(=O)OC(C)(C)C1CCC(=CC1)C.CC23CCC(CC2)C(C)(C)O3,350.543,5.81860000000001,102.47,25,3,0,3,2,144,0,3,4,4,35.53,154.090382649973,1.84588739533823e-07,504.610486187718,-3.0213590642
C=CCOc1nc(OCC=C)nc(OCC=C)n1,249.27,1.566,66.903,18,6,0,6,9,96,1,0,0,1,66.36,105.646652683874,2.82927628205978,346.776444901837,-2.8742257802
CCCCC(O)=O,102.133,1.2612,27.1608,7,1,1,2,3,42,0,0,0,0,37.3,43.1547753376558,2.82193893705918,59.100494005928,-0.490652149
CC(O)C(C)Cc1ccccc1,164.248,2.246,50.9908,12,1,1,1,3,66,1,0,0,1,20.23,74.050347443676,2.52667600839138,215.705538705322,-1.6969729899
CCCCC(C(=O)OCC)C(=O)OCC,216.277,1.919,56.281,15,4,0,4,7,88,0,0,0,0,52.6,90.9388068308969,4.27806530940491,182.764602349159,-2.8164963969
CCCCCCCCCCCC1=NCCN1CCO,268.445,3.6137,82.8048000000001,19,3,1,3,12,112,0,0,1,1,35.83,118.656941498509,1.90265122055939,240.903432244164,-3.8986556211
FC(F)(F)c1ccc(Cl)cc1,180.556,3.3588,36.454,11,0,0,4,0,60,1,0,0,1,0,66.596217669554,2.99375478825993,236.857753276127,-3.7276952246
Oc1ccc(cc1)c2ccc(O)cc2,186.21,2.7648,55.2076,14,2,2,2,1,70,2,0,0,2,40.46,82.076964829953,2.3965090397261,371.57964673815,-3.7423730992
C\C=C\OC1CCC(CC1)O\C=C\C,196.29,3.398,57.842,14,2,0,2,4,80,0,1,1,1,18.46,86.5956675273083,2.17000731921284,166.498410120194,-3.9037320907
O=C1CCCCCCCCCOCCCCCO1,256.386,3.8509,72.5650000000001,18,3,0,3,0,106,0,1,1,1,35.53,111.23122203491,2.11369413569037,183.915394809711,-3.8838494997
CCCCCCCCCCC(C)CCCCCCCC,282.556,7.90390000000001,94.3840000000001,20,0,0,0,16,122,0,0,0,0,0,129.673151201365,3.1014700581727,161.421245510856,-6.4511045339
NC(=O)N=NC(N)=O,116.08,-0.404,24.0228,8,2,2,6,0,44,0,0,0,0,110.9,44.5537965808282,3.6686264619338,122.973736602512,-3.5462434596
CC(C)(C)c1ccc(O)c(c1)C(C)(C)C,206.329,3.9872,65.5068000000001,15,1,1,1,0,84,1,0,0,1,20.23,93.1451737868658,3.29935794615457,350.581941709556,-3.7960463334
CC(Cc1ccc(cc1)C(C)(C)C)C=O,204.313,3.3616,64.074,15,1,0,1,3,82,1,0,0,1,17.07,92.5124621347136,2.768132115506,316.187091424857,-3.7917820609
COc1ccc(cc1N)C(=O)Nc2ccccc2,242.278,2.5297,71.8016,18,3,2,4,3,92,2,0,0,2,64.35,105.383201764526,2.16813985841852,552.975379116185,-3.86580004
[C-]#[O+],28.01,-0.03751,3.9295,2,0,0,1,0,10,0,0,0,0,19.9,12.6196983434044,3,6.75488750216347,-2.9287991689
CCC(C)(C)Cl,106.596,2.4138,30.223,6,0,0,1,1,38,0,0,0,0,0,44.5022857122976,3.16848987267057,33.6933284343696,-2.5105450102
N#CCN(CCN(CC#N)CC#N)CC#N,216.248,-0.31528,55.332,16,6,0,6,7,82,0,0,0,0,101.64,95.1137161236806,4.06569941363853,281.466444133338,-2.8204043469
CC(C)(C)OOC(=O)c1ccccc1,194.23,2.5735,52.6955,14,3,0,3,2,76,1,0,0,1,35.53,83.5740215662758,2.52343461049539,298.058724549751,-2.7764329492
CC(F)F,66.05,1.2714,11.678,4,0,0,2,0,26,0,0,0,0,0,23.4352639480786,2.32379000772445,8.75488750216347,-1.3147228436
CCC(C)(O)CCCC(C)C,158.285,2.9737,49.6038,11,1,1,1,5,68,0,0,0,0,20.23,70.817963809595,3.37627875711752,95.045899527805,-2.6942897822
COc1ccc2NC(=S)Nc2c1,180.232,2.23409,50.0354,12,2,2,4,1,62,2,0,0,2,40.81,74.3791436443014,2.74260637129956,457.270954272354,-2.7506819237
FC(F)(F)Br,148.909,1.9011,14.982,5,0,0,4,0,32,0,0,0,0,0,35.1034048422496,3.02371578407382,22.3645279766003,-2.6677709688
[Zn++].CC(C)CCCCCO[P]([S-])(=S)OCCCCCC(C)C.CC(C)CCCCCO[P]([S-])(=S)OCCCCCC(C)C,772.498,12.4451,200.331999999999,43,8,0,11,28,256,0,0,0,0,36.92,302.789614951458,-7.2727268721901e-07,581.753135722642,-4.3707014658
C1OC1COc2ccc3c(OCC4CO4)cccc3c2,272.3,2.395,74.418,20,4,0,4,6,104,2,2,2,4,43.52,116.745238948581,1.53693910891831,616.903023783744,-3.9191737976
CC(C)=CCC\C(C)=C\COC=O,182.263,2.8521,54.438,13,2,0,2,6,74,0,0,0,0,26.3,80.2845334369778,3.60129945059832,198.135818509446,-3.7461507617
O.O.O.O.[Pb].[Pb].[Pb].[Pb].[Pb].[O-][S]([O-])(=O)=O,1204.123,-6.5408,53.6998,14,4,0,14,0,84,0,0,0,0,206.26,182.341954133193,-2.22222221203704e-09,100.900046302625,-4.5661230993
C[C@@H]1CC=C(C)[C@H](\C=C\C(C)=O)C1(C)C,206.329,3.7601,64.63,15,1,0,1,2,84,0,0,1,1,17.07,93.2599833971315,2.96350395004181,307.300390025321,-3.8026769123
CO[SiH](CC1CCCCC1)OC,188.343,2.08,52.549,12,2,0,3,4,72,0,1,1,1,18.46,77.1043661704838,2.17961075188806,109.096162813286,-3.0959725365
Nc1ccc(\C=C\c2ccc(N)cc2[S](O)(=O)=O)c(c1)[S](O)(=O)=O,370.408,1.5148,90.266,24,6,4,10,4,128,2,0,0,2,160.78,138.465831936277,2.58677351010068,943.725349530695,-4.0635303796
[Zn++].Cc1cccc2[N-]C(=S)Nc12.Cc3cccc4NC(=S)[N-]c34,391.84,4.32352,94.3794,23,2,2,7,0,112,4,0,0,4,59.78,156.04604711225,1.59999997832407e-07,969.002306445307,-4.0879587895
OC(=O)CC[P](O)(=O)c1ccccc1,214.157,1.057,53.0211,14,2,2,5,4,76,1,0,0,1,74.6,81.6524892253432,2.75932579767084,360.334520593041,-0.8283051545
O=[S](Cc1ccccc1)Cc2ccccc2,230.332,3.1355,68.4344,16,1,0,2,4,82,2,0,0,2,17.07,98.5926357579302,1.95219414779439,407.17626205276,-2.8588087212
CC(C)(N=NC(C)(C)C#N)C#N,164.212,2.04296,44.24,12,4,0,4,2,64,0,0,0,0,72.3,72.5257830360323,4.50245443616165,233.762897717399,-2.7132509977
CCC(C)COC(=O)C=C,142.198,1.7617,40.611,10,2,0,2,4,58,0,0,0,0,26.3,61.8793101259722,3.34413267922815,118.425998817129,-2.6532064055
Clc1sc2ccccc2n1,169.636,2.9497,44.63,10,2,0,3,0,50,2,0,0,2,12.89,67.2763451294718,2.87651016694462,322.133593426261,-2.7325883752
CC1=CC(=O)N(O)C(=C1)C2CCCCC2.NCCO,268.357,1.37912,74.5897,19,5,3,5,2,108,1,1,1,2,88.48,113.189420417535,3.98999964429694e-07,434.80748410913,-0.9331685906
Clc1ccc2c(Cl)ccnc2c1,198.052,3.5416,51.763,12,1,0,3,0,60,2,0,0,2,12.89,79.939248085942,2.86302579368499,425.798091189121,-2.8026246384
Nc1ccccc1[S](O)(=O)=O,173.193,0.5155,40.669,11,3,2,5,1,60,1,0,0,1,80.39,64.3999298265503,3.37219481096082,357.845074493572,-1.7471686412
[Ti+4].CC(C)[O-].CC(C)[O-].CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O,364.261,0.24508,81.5960000000001,23,6,0,7,4,132,0,0,0,0,114.4,154.471565723455,-6.39473680694447e-08,263.022374980657,-2.0700509817
CC(=O)Nc1ccc(cc1)[S](Cl)(=O)=O,233.676,1.5725,53.7845,14,3,1,6,2,76,1,0,0,1,63.24,86.3051394938061,2.95189624717932,438.159125541551,-2.8772524161
CCC(=O)OC1C(C)CCCC1(C)C,198.306,3.1544,56.967,14,2,0,2,2,82,0,1,1,1,26.3,87.0228504622137,2.65070614275108,208.367268878775,-3.8031812605
COC(=O)c1ccc(cc1)C(=O)OC,194.186,1.2598,49.121,14,4,0,4,2,74,1,0,0,1,52.6,81.4413062361847,2.88648212837778,304.644560389167,-3.796856222
CCCCCCCC1CCCC1=O,182.307,3.7161,55.724,13,1,0,1,6,76,0,1,1,1,17.07,81.9093052327068,1.9577733884568,151.203466379104,-3.7694416506
O=C(Cc1ccccc1)OCc2ccccc2,226.275,2.9725,66.384,17,2,0,2,4,86,2,0,0,2,26.3,100.858390998301,1.82566318422942,462.79519750366,-3.8632748797
CN(C)C(=S)SC(=S)N(C)C,208.377,1.4126,60.161,11,3,0,5,0,64,0,0,0,0,6.48,82.9242994599943,3.86241011502244,147.210330809376,-2.8302990647
C[C@@H](CCO)CCC=C(C)C,156.269,2.7513,49.5318,11,1,1,1,5,66,0,0,0,0,20.23,70.1283607774108,3.3063817487883,112.041184724392,-2.7067344575
CCC(=O)C(C)CC=C(C)C,154.253,2.9579,48.51,11,1,0,1,4,64,0,0,0,0,17.07,69.4956491252585,3.78110477710609,152.255712366993,-2.7010952437
Cc1cc(C)c(N)c(c1)[S](O)(=O)=O,201.247,1.13234,50.143,13,3,2,5,1,72,1,0,0,1,80.39,77.1298140553435,3.55787084565397,436.947515701667,-1.8195435039
s1cccc1,84.143,1.7481,24.319,5,1,0,1,0,26,1,0,0,1,0,35.0717663899085,3.125,60.1248181126977,-1.4450110492
CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,228.291,3.4237,68.3416,17,2,2,2,2,88,2,0,0,2,40.46,101.171791173143,2.41258078149156,447.949958454168,-2.8799222949
ClC(Cl)(Cl)C=O,147.388,1.5555,26.354,6,1,0,4,0,36,0,0,0,0,17.07,50.175513922915,3.44599121351884,54.3037625237982,-0.691340871
CCC(C)CO,88.15,1.0248,26.5408,6,1,1,1,2,38,0,0,0,0,20.23,38.993253237612,2.75418478603766,23.1194154787637,-0.4681010619
CC(C)CCO,88.15,1.0248,26.5408,6,1,1,1,2,38,0,0,0,0,20.23,38.993253237612,2.62721484789886,25.1194154787637,-0.4681010619
[Na+].[Na+].[Na+].[Na+].CC(=O)Nc1ccc(c2C=C(/C(=N/Nc3ccc(N=Nc4ccc(cc4)[S]([O-])(=O)=O)c5ccc(cc35)[S]([O-])(=O)=O)C(=O)c12)[S]([O-])(=O)=O)[S]([O-])(=O)=O,867.693,-9.50760000000002,172.2637,55,18,2,27,9,266,4,0,1,5,324.08,401.624622012924,3.78124702483186e-06,2745.95532533641,-1.4612448391
s1cnc2ccccc12,135.191,2.2963,39.62,9,2,0,2,0,44,2,0,0,2,12.89,56.9730789025902,2.9546597902851,282.893936766344,-1.6538265258
OC(=O)c1cccc(c1)[N+]([O-])=O,167.12,1.293,40.0557,12,3,1,5,2,62,1,0,0,1,80.44,67.4050768086331,3.1218057752483,304.683190204761,-1.7459071723
O=[Mo]=O,127.938,-0.2401,1.373,3,2,0,3,0,18,0,0,0,0,34.14,25.9847942778477,3.2659863237109,23.7744375108173,-3.7396436363
O=C1Nc2ccccc2C(=O)O1,163.132,0.4813,43.1047,12,3,1,4,0,60,2,0,0,2,63.07,66.4605766562753,3.09393226966363,523.304277953368,-2.735417906
OC(c1ccccc1)C(=O)c2ccccc2,212.248,2.6029,62.1743,16,2,1,2,3,80,2,0,0,2,37.3,94.174137406594,2.23939893032045,462.608719227726,-2.8497223519
CCCCCCCCO,130.231,2.3392,40.4618,9,1,1,1,6,56,0,0,0,0,20.23,58.0880795808018,2.59508270679389,37.8322939217873,-2.6375931207
O=[Te]=O,159.598,-0.6184,7.127,3,2,0,3,0,18,0,0,0,0,34.14,27.6622767561431,3.2659863237109,23.7744375108173,-3.7156062333
COC(=O)COc1nc(F)c(Cl)c(N)c1Cl,269.059,1.6615,56.1384,16,5,1,8,3,88,1,0,0,1,74.44,100.246448556393,2.93141498270253,428.234716786032,-3.9512810281
CC(C)=CCCC(C)(OC(C)=O)C=C,196.29,3.2406,59.033,14,2,0,2,5,80,0,0,0,0,26.3,86.6494755513744,4.18756302242648,236.706284243489,-3.8157769203
CC(C)(C)c1cccc(c1O)C(C)(C)C,206.329,3.9872,65.5068000000001,15,1,1,1,0,84,1,0,0,1,20.23,93.1451737868658,3.36890157314751,318.331941709556,-4.7135873776
COc1ccc(cc1O)[C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)cc3O2,610.565,-1.1566,140.6989,43,15,8,15,7,236,2,2,3,5,234.29,244.506741189972,1.41271632522065,1319.3038683813,-5.1858488331
[Ce+3].[Ce+3].[O-]C([O-])=O.[O-]C([O-])=O.[O-]C([O-])=O,460.256,-7.341,16.188,14,9,0,11,0,74,0,0,0,0,189.57,144.496281373717,-2.699999991e-08,115.606731432605,-5.0664023631
CCCCC(CC)COC(C)=O,172.268,2.7659,49.939,12,2,0,2,6,72,0,0,0,0,26.3,75.2987973869497,3.45346633834254,121.006986928036,-4.6451400046
CCCCCCCCC(C)C#N,167.296,3.89668,52.77,12,1,0,1,7,70,0,0,0,0,23.79,76.7812518532644,2.9639246608116,123.456027199317,-4.6324209502
CCN1C(=O)C(=N/Nc2ccc(Cl)cc2[N+]([O-])=O)/C(=C(C#N)C1=O)C,361.745,2.24488,89.8711,25,7,1,10,4,128,1,0,1,2,128.7,146.867468154197,2.4890538440202,884.398177072048,-4.96733793
CC(C)CCCC=C,112.216,2.9987,38.886,8,0,0,0,4,48,0,0,0,0,0,52.6042427964215,2.81400214838973,53.0586500259616,-4.458990177
ClCCc1cc2CC(=O)Nc2cc1Cl,230.094,2.6159,58.2097,14,1,1,4,2,74,1,0,1,2,29.1,92.2032571609693,2.3914497502235,389.953542624229,-4.7775740697
CCCCOCCOC(=O)CCCCC(=O)OCCOCCCC,346.464,3.2666,91.8400000000001,24,6,0,6,17,142,0,0,0,0,71.06,145.720492090687,3.31472336250659,275.88411072353,-4.9587331394
CC(c1ccccc1)c2ccccc2,182.266,3.8384,60.401,14,0,0,0,2,70,2,0,0,2,0,85.2183815543542,2.29624613059285,335.79776893714,-4.6925039386
Cc1ccccc1Cc2ccccc2,182.266,3.58582,60.427,14,0,0,0,2,70,2,0,0,2,0,85.2183815543542,2.23695888437572,401.393304003117,-4.6925039386
[Nd+3].[Nd+3].[O-]C([O-])=O.[O-]C([O-])=O.[O-]C([O-])=O,468.504,-7.341,16.188,14,9,0,11,0,74,0,0,0,0,189.57,142.789780810657,-2.699999991e-08,115.606731432605,-5.1084204387
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C(C)=O,358.478,4.0191,97.2710000000001,26,4,0,4,2,142,0,3,4,4,60.44,155.288219313495,1.66188788920441,692.255816886345,-4.9957539374
OC(=O)c1cc(Nc2ccccc2)c(cc1Nc3ccccc3)C(O)=O,348.358,4.5702,99.81,26,4,4,6,6,130,3,0,0,3,98.66,149.286711832114,2.06452034492385,861.534822599755,-4.9857232877
O=C(OCc1ccccc1)/C=C/c2ccccc2,238.286,3.4432,71.714,18,2,0,2,4,90,2,0,0,2,26.3,106.533730080514,1.84355200447608,515.307928487378,-4.8207960263
O=C1N=C(NC(=N1)c2ccccc2)c3ccccc3,249.273,2.4989,73.5247,19,3,1,4,2,92,3,0,0,3,58.64,109.366057574508,2.14576798929104,675.347524670074,-5.4935852535
[O--].[O--].[O--].[Gd+3].[Gd+3],362.497,-0.3564,2.0595,5,0,0,5,0,34,0,0,0,0,85.5,94.1816993478182,0,4.85475297227334,-5.0152363724
CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,224.344,3.8767,68.197,16,2,0,2,6,92,0,0,0,0,26.3,99.3793597801676,4.36726566869033,272.459928808593,-4.8105849842
Cc1cc(C)c(c(C)c1)C(=O)[P](=O)(c2ccccc2)c3ccccc3,348.382,4.76616,104.742,25,2,0,3,4,126,3,0,0,3,34.14,148.456481989349,2.27416213333607,893.327209719406,-5.010576791
CCCCC(CC)C(=O)OCC(C)(C)COC(=O)C(CC)CCCC,356.547,5.53180000000001,102.311,25,4,0,4,14,148,0,0,0,0,52.6,154.588227974863,4.33949410798131,342.092338969861,-5.0206378696
[O--].[O--].[O--].[O--].[O--].[Ti+4].[Zr+4].[Pb++],426.286,-0.9798,9.1865,8,0,0,8,0,42,0,0,0,0,142.5,101.30918768065,0,12.3903595255632,-5.0982221528
CCOC(=O)C1C(C=C(C)C)C1(C)C,196.29,2.7879,56.825,14,2,0,2,3,80,0,1,1,1,26.3,86.3332474300294,2.65885302458125,259.495294535378,-4.7652682741
NC(=O)c1ccc(NC(=O)c2ccc(cc2)[N+]([O-])=O)cc1,285.259,1.946,76.0095,21,4,2,7,4,106,2,0,0,2,115.33,119.084154357562,2.098304630867,693.163988749303,-4.9367254155
CC(=O)c1cc(cc2c1CCC2(C)C)C(C)(C)C,244.378,4.4105,76.4935000000001,18,1,0,1,1,98,1,0,1,2,17.07,110.601457324374,2.71074522943651,501.076756643045,-4.8708662082
COc1cc(N[S](=O)(=O)c2ccc(C)cc2)c3C(=O)c4ccccc4C(=O)c3c1N,422.462,3.16202,112.7009,30,6,2,8,4,152,3,0,1,4,115.56,173.086647038312,1.92708996939867,1312.09971592416,-5.1125700507
[H+].[Mn++].Cc1cc(c(cc1Cl)N=Nc2c([O-])c(cc3ccccc23)C([O-])=O)[S]([O-])(=O)=O,473.752,2.66822,97.1647,29,8,0,11,4,149,3,0,0,3,145.11,182.109134413653,2.2499988551256e-06,1267.25656998442,-5.1704010781
Cc1ccc(Nc2cc(C(O)=O)c(Nc3ccc(C)cc3)cc2C(O)=O)cc1,376.412,5.18704,109.284,28,4,4,6,6,142,3,0,0,3,98.66,162.016596060907,2.03906566676688,940.402444650625,-5.0705134819
COc1cc(NC(=O)c2cc3ccccc3cc2O)c(OC)cc1Cl,357.793,4.4683,98.122,25,4,2,6,4,128,3,0,0,3,67.79,149.300962922229,1.9863303805503,955.552111910677,-5.0622701458
CCCCC(CC)COC(=O)C(C)=C,198.306,3.3221,59.079,14,2,0,2,7,82,0,0,0,0,26.3,87.3390785835586,3.71465884158871,184.76075065686,-4.8059741607
CCCCC(CC)CCl,148.677,3.4416,44.026,9,0,0,1,5,56,0,0,0,0,0,63.5971120554875,3.09224619460239,48.5293250129808,-4.6808820955
C.CCCCCCCCCCCCO,202.382,4.5357,65.6608000000001,14,1,1,1,10,88,0,0,0,0,20.23,90.9186213063141,0,71.3047481829928,-4.8148101896
C=CC(=O)OCCCCCCCCCCOC(=O)C=C,282.38,3.5656,79.248,20,4,0,4,13,114,0,0,0,0,52.6,121.384311338511,3.09479747402074,266.851997634258,-4.9608754545
C[C@H]1CC(=O)C[C@@H]2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]12C,304.474,4.2051,87.2878000000001,22,2,1,2,0,124,0,4,4,4,37.3,134.605582439488,1.67125644468269,486.098916152356,-5.0064289581
CC1(C)CC2(CC(C)(C)N1)OC3(CCCCCCCCCCC3)NC2=O,364.574,4.8132,106.0044,26,3,2,4,0,150,0,3,3,3,50.36,159.760333666337,1.77649808433117,484.271637018893,-5.0846644385
CCC(C)(C)c1ccc(O)c(c1)C(C)(C)CC,234.383,4.7674,74.7408000000001,17,1,1,1,4,96,1,0,0,1,20.23,105.875058015659,3.29563446010565,388.511694057425,-4.892804854
CCCCC(CC)COC(=O)CS[Sn](C)(SCC(=O)OCC(CC)CCCC)SCC(=O)OCC(CC)CCCC,743.727,9.0335,181.786999999999,41,9,0,10,27,242,0,0,0,0,78.9,263.859220286843,5.0239579417376,608.421483134533,-5.3942922935
ClC(=O)OCCOCCOC(Cl)=O,231.031,1.7538,45.221,13,5,0,7,6,76,0,0,0,0,61.83,84.8341739421841,2.99610499791245,154.407546367927,-4.8865490032
[Lu+3].[Lu+3].[O-]C(=O)C([O-])=O.[O-]C(=O)C([O-])=O.[O-]C(=O)C([O-])=O,613.988,-10.5414,30.042,20,12,0,14,0,126,0,0,0,0,240.78,166.918207891977,-5.35714282959184e-08,281.085186962651,-5.3110386285
OCc1cccc(Oc2ccccc2)c1,200.237,2.9712,58.8808,15,2,1,2,3,76,2,0,0,2,29.46,88.7612184216605,2.1735976283694,423.56090337132,-2.8258731416
O=C1CCCCCCCCCCCN1,197.322,3.0172,59.1797,14,1,1,2,0,82,0,1,1,1,29.1,87.4591674163148,2.14738513824656,140.400718952076,-2.8195043204
COC(=O)\C=C\c1ccccc1,162.188,1.8728,47.492,12,2,0,2,2,62,1,0,0,1,26.3,71.4766358744498,2.63787016768778,275.149870489886,-2.7343475301
CSc1cc(SC)c(N)c(C)c1N,214.359,2.60322,63.5658,13,4,2,4,2,72,1,0,0,1,52.04,87.4522309074427,3.36172088755129,295.631007266645,-2.8569254583
COc1ccc(\C=C\C)cc1OC,178.231,2.7369,54.254,13,2,0,2,3,70,1,0,0,1,18.46,78.7936011183095,3.05012042841482,302.958630488272,-2.7782267945
Cc1ccc2cccc(O)c2n1,159.188,2.24882,48.1448,12,2,1,2,0,60,2,0,0,2,33.12,70.4918914987713,2.87714455842684,423.108135253228,-1.7306186153
[Co++].CCC1CCC(CCC([O-])=O)C1.CCC2CCC(CCC([O-])=O)C2,397.421,2.6831,90.7260000000001,25,4,0,5,8,147,0,2,2,2,80.26,162.898865233778,4.43076911304142e-07,349.892442950467,-3.1323831914
CC(C)(COCCCOC(=O)C=C)COCCCOC(=O)C=C,328.405,2.2844,86.965,23,6,0,6,14,132,0,0,0,0,71.06,137.976343911922,3.53231220789303,341.279881787575,-3.0495421403
CCCCCOC=O,116.16,1.3496,31.541,8,2,0,2,5,48,0,0,0,0,26.3,49.8390289293632,2.61629309041798,52.4902249956731,-1.6020599913
COC(=O)c1cccc(c1)C(=O)OC,194.186,1.2598,49.121,14,4,0,4,2,74,1,0,0,1,52.6,81.4413062361847,3.00633662648192,325.644560389167,-2.825819918
C=Cc1ccccc1,104.152,2.3296,36.533,8,0,0,0,1,40,1,0,0,1,0,49.4716843161059,2.99104691468462,162.653001421162,-2.5552696161
CCCCCCOC(=O)C(C)=C,170.252,2.686,49.915,12,2,0,2,6,70,0,0,0,0,26.3,74.6091943547654,3.19978738372766,149.917569111704,-3.7554210341
Clc1cc(Cl)c(Cl)nc1Cl,216.882,3.6952,44.277,10,1,0,5,0,54,1,0,0,1,12.89,77.8641160079702,3.28246290745352,209.82001790212,-3.8614246907
Nc1scc(n1)c2ccc3ccccc3c2,226.304,3.5455,69.4684,16,3,1,3,1,78,3,0,0,3,38.91,97.3700638056669,2.18154328618717,642.982566625244,-4.849542252
CCCCCC(CO)Cc1ccccc1,206.329,3.4179,64.8638000000001,15,1,1,1,7,84,1,0,0,1,20.23,93.1451737868659,2.33161649545808,242.775429959495,-3.8432685623
CCCCCCCCCC=O,156.269,3.326,48.674,11,1,0,1,8,66,0,0,0,0,17.07,70.1852521574428,2.73767156857195,78.9419624661572,-3.7255255026
CC(=O)OC/C=C(C)/CCC=C(C)C,196.29,3.2422,59.055,14,2,0,2,5,80,0,0,0,0,26.3,86.6494755513744,3.67044852713301,232.706284243489,-3.8305001771
CC(CC/C=C(C)/CCC=O)C=C,180.291,3.5141,57.65,13,1,0,1,7,74,0,0,0,0,17.07,81.5359303218675,3.57077038564376,179.563498083888,-3.7935760497
COC(=O)C(F)(F)F,128.049,0.7217,18.071,8,2,0,5,0,48,0,0,0,0,26.3,43.2408087949521,3.82337845522092,95.1918826630145,-0.6479837034
CCOc1cc(C=O)ccc1O,166.176,1.6034,44.6633,12,3,1,3,3,64,1,0,0,1,46.53,70.5955305444334,2.98807008141211,281.102178757748,-1.7642022678
CC(=O)CCc1ccccc1,148.205,2.2082,45.444,11,1,0,1,3,58,1,0,0,1,17.07,67.0526936771272,2.45301874353194,225.887909980341,-1.7160179957
COc1cc(NC(=O)CC(C)=O)c(OC)cc1Cl,271.7,2.2748,68.4837,18,4,1,6,5,98,1,0,0,1,64.63,110.024318875468,2.99033859514625,473.390369147889,-2.9792447784
CC(=O)OC\C=C\c1ccccc1,176.215,2.2629,52.109,13,2,0,2,3,68,1,0,0,1,26.3,77.8415779888464,2.36771932003791,288.218405492599,-2.7927245342
CC(=O)Oc1ccc(cc1C2C(=O)Oc3ccc(cc23)C(C)(C)CC(C)(C)C)C(C)(C)CC(C)(C)C,492.700000000001,8.09040000000001,145.867,36,4,0,4,6,196,2,0,1,3,52.6,217.331643119065,2.15625144572354,1155.65368893362,-6.6925825623
CCCCC(CC)COC(=O)Nc1ccc(C)c(NC(=O)OCCN(C)C)c1.CC(O)C(O)=O,483.606,4.32182,132.297,34,7,4,10,12,194,1,0,0,1,137.43,202.165874633122,1.59892815518743e-06,754.082164996875,-0.2351938248
CCC(C)CCCC(C)(C)O,158.285,2.9737,49.6038,11,1,1,1,5,68,0,0,0,0,20.23,70.817963809595,3.27571627533458,91.5361245234781,-2.7493446847
[Na+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O,219.947,-4.6648,37.054,12,5,0,9,0,60,1,0,0,1,75.17,97.2381300772398,1.20999980832503e-06,408.082024361506,-0.8951600114
Nc1cc(ccc1O)[S](O)(=O)=O,189.192,0.2211,42.3338,12,4,3,6,1,66,1,0,0,1,100.62,69.1941635787463,3.32729599901651,398.009154296849,-1.8297447369
C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23,362.466,1.7816,95.1424,26,5,3,5,2,144,0,3,4,4,94.83,154.030911126136,1.73508320120217,683.888921753676,-3.1121092438
CCCCCCCC/C=C/CCCCCCCC(O)=O.NCCO,343.552,5.0459,103.228,24,3,3,4,16,144,0,0,0,0,83.55,149.079259624159,0,265.609575734224,-3.0888344498
CC(CO)CCC1CC=C(C)C1(C)C,196.334,3.3874,61.1288,14,1,1,1,4,82,0,0,1,1,20.23,88.2173559670714,2.41431026527088,215.275452607588,-3.8427464064
CCCCCCCCCCCC(=O)N(C)C,227.392,3.9955,70.5380000000001,16,1,0,2,10,96,0,0,0,0,20.31,101.404854285233,3.06855151382054,166.11827660205,-3.9093070505
CC(C)(C)C1CCC(O)CC1,156.269,2.5836,47.4198,11,1,1,1,0,66,0,1,1,1,20.23,69.8121326560658,2.39361504850894,115.32469185181,-3.1032621252
CCCCCCCCCCCCCCN(C)C,241.463,5.2491,79.6320000000001,17,1,0,1,13,104,0,0,0,0,3.24,109.973216413982,2.89258864562212,131.486868301256,-3.9356925608
CCCCl,78.542,1.6352,21.011,4,0,0,1,1,26,0,0,0,0,0,31.7724014835044,1.97474487139159,5.24511249783653,-1.4534068203
[Zn++].CC(C)CC(C)O[P]([S-])(=S)OC(C)C.CC(C)CC(C)O[P]([S-])(=S)OC(C)C,576.12,7.26550000000001,135.746,29,8,0,11,12,172,0,0,0,0,36.92,213.680425349905,-4.50666653551111e-07,464.25278127282,-2.3189749133
[O-][N+](=O)c1cccc(Cl)c1,157.556,2.2482,38.1064,10,2,0,4,1,52,1,0,0,1,43.14,62.3876450688784,3.06989926575927,261.679658376557,-2.7612722995
